Hour,CPEpor_F,CPEpor_n,Rpor,CPEb_F,CPEb_n,Rb
239,0.0001707445699404762,0.8271130952380952,206.46279761904762,2.2950148809523815e-05,0.8491220238095238,176711.75595238095
240,0.00017145878571428572,0.8271428571428571,206.07142857142856,2.3035714285714288e-05,0.8492857142857143,176321.42857142858
241,0.00017217300148809526,0.827172619047619,205.68005952380952,2.3121279761904765e-05,0.8494494047619048,175931.10119047618
242,0.00017288721726190477,0.8272023809523809,205.28869047619048,2.320684523809524e-05,0.8496130952380953,175540.7738095238
243,0.00017360143303571428,0.8272321428571429,204.89732142857144,2.3292410714285718e-05,0.8497767857142857,175150.44642857142
244,0.00017431564880952382,0.8272619047619048,204.50595238095238,2.3377976190476195e-05,0.8499404761904762,174760.11904761905
245,0.00017502986458333333,0.8272916666666666,204.11458333333331,2.3463541666666672e-05,0.8501041666666667,174369.79166666666
246,0.00017574408035714287,0.8273214285714285,203.72321428571428,2.354910714285715e-05,0.8502678571428572,173979.4642857143
247,0.00017645829613095238,0.8273511904761904,203.33184523809524,2.3634672619047622e-05,0.8504315476190477,173589.1369047619
248,0.00017717251190476192,0.8273809523809523,202.9404761904762,2.37202380952381e-05,0.8505952380952382,173198.80952380953
249,0.00017788672767857144,0.8274107142857142,202.54910714285714,2.3805803571428575e-05,0.8507589285714287,172808.48214285716
250,0.00017860094345238095,0.8274404761904761,202.1577380952381,2.3891369047619052e-05,0.8509226190476191,172418.15476190476
251,0.0001793151592261905,0.827470238095238,201.76636904761904,2.397693452380953e-05,0.8510863095238096,172027.82738095237
252,0.000180029375,0.8274999999999999,201.375,2.4062500000000006e-05,0.8512500000000001,171637.5
253,0.00018074359077380954,0.8275297619047619,200.98363095238096,2.414806547619048e-05,0.8514136904761905,171247.17261904763
254,0.00018145780654761905,0.8275595238095238,200.59226190476193,2.4233630952380956e-05,0.851577380952381,170856.84523809524
255,0.0001821720223214286,0.8275892857142857,200.20089285714286,2.4319196428571432e-05,0.8517410714285715,170466.51785714284
256,0.0001828862380952381,0.8276190476190476,199.8095238095238,2.440476190476191e-05,0.8519047619047619,170076.19047619047
257,0.00018360045386904761,0.8276488095238095,199.41815476190476,2.4490327380952386e-05,0.8520684523809524,169685.8630952381
258,0.00018431466964285715,0.8276785714285714,199.02678571428572,2.4575892857142863e-05,0.8522321428571429,169295.5357142857
259,0.00018502888541666667,0.8277083333333333,198.63541666666669,2.466145833333334e-05,0.8523958333333334,168905.2083333333
260,0.0001857431011904762,0.8277380952380952,198.24404761904762,2.4747023809523813e-05,0.8525595238095238,168514.88095238095
261,0.00018645731696428572,0.827767857142857,197.85267857142856,2.483258928571429e-05,0.8527232142857143,168124.55357142858
262,0.00018717153273809526,0.8277976190476191,197.46130952380952,2.4918154761904766e-05,0.8528869047619048,167734.22619047618
